Match_ID,Match_Time,Match_Year,Match_Month,Match_Day,MainPlayer_Name,MainPlayer_ID,MainPlayer_Team,MainPlayer_PositionNumber,MainPlayer_Position,MainPlayer_Civ,MainPlayer_isWon,Map,Number_of_Players,isWololoMatch,isTeamGame
308501796,"April 25, 2024, 7:06 p.m.",2024,4,25,MKD,12397390,1,6,Pocket,Magyars,1,Arabia,8,True,TeamGame-WOLOLO
293096628,"Feb. 18, 2024, 7:23 p.m.",2024,2,18,MKD,12397390,1,7,Pocket,Persians,0,Arabia,8,True,TeamGame-WOLOLO
290831963,"Feb. 8, 2024, 8:57 p.m.",2024,2,8,MKD,12397390,1,2,Pocket,Slavs,1,Arabia,8,True,TeamGame-WOLOLO
290821439,"Feb. 8, 2024, 8:13 p.m.",2024,2,8,MKD,12397390,1,2,Pocket,Huns,0,Arabia,8,True,TeamGame-WOLOLO
290810695,"Feb. 8, 2024, 7:27 p.m.",2024,2,8,MKD,12397390,1,2,Pocket,Persians,1,Arabia,8,True,TeamGame-WOLOLO
289078819,"Jan. 31, 2024, 8:13 p.m.",2024,1,31,MKD,12397390,1,7,Pocket,Saracens,0,Arabia,8,True,TeamGame-WOLOLO
289071656,"Jan. 31, 2024, 7:38 p.m.",2024,1,31,MKD,12397390,1,2,Pocket,Cumans,1,Arabia,8,True,TeamGame-WOLOLO
289062415,"Jan. 31, 2024, 7 p.m.",2024,1,31,MKD,12397390,1,6,Pocket,Huns,1,Arabia,8,True,TeamGame-WOLOLO
285962139,"Jan. 17, 2024, 7:39 p.m.",2024,1,17,MKD,12397390,1,2,Pocket,Tatars,0,Arabia,8,True,TeamGame-WOLOLO
285953987,"Jan. 17, 2024, 7:01 p.m.",2024,1,17,MKD,12397390,1,2,Pocket,Magyars,0,Arabia,8,True,TeamGame-WOLOLO
285944823,"Jan. 17, 2024, 6:23 p.m.",2024,1,17,MKD,12397390,1,2,Pocket,Persians,1,Arabia,8,True,TeamGame-WOLOLO
285273631,"Jan. 14, 2024, 4:23 p.m.",2024,1,14,MKD,12397390,1,3,Pocket,Mongols,1,Arabia,8,True,TeamGame-WOLOLO
285267489,"Jan. 14, 2024, 3:54 p.m.",2024,1,14,MKD,12397390,1,3,Pocket,Persians,1,Arabia,8,True,TeamGame-WOLOLO
285260606,"Jan. 14, 2024, 3:26 p.m.",2024,1,14,MKD,12397390,1,3,Pocket,Lithuanians,0,Arabia,8,True,TeamGame-WOLOLO
281150026,"Dec. 27, 2023, 8:42 p.m.",2023,12,27,MKD,12397390,1,3,Pocket,Spanish,0,Arabia,8,True,TeamGame-WOLOLO
281132137,"Dec. 27, 2023, 7:27 p.m.",2023,12,27,MKD,12397390,1,3,Pocket,Tatars,1,Arabia,8,True,TeamGame-WOLOLO
280517446,"Dec. 24, 2023, 9:16 p.m.",2023,12,24,MKD,12397390,1,7,Unknown,Mongols,0,Arabia,8,True,TeamGame-WOLOLO
279836884,"Dec. 21, 2023, 8:47 p.m.",2023,12,21,MKD,12397390,1,7,Pocket,Persians,1,Arabia,8,True,TeamGame-WOLOLO
279828097,"Dec. 21, 2023, 8:06 p.m.",2023,12,21,MKD,12397390,1,7,Pocket,Franks,1,Arabia,8,True,TeamGame-WOLOLO
279824025,"Dec. 21, 2023, 7:43 p.m.",2023,12,21,MKD,12397390,1,7,Pocket,Huns,0,Arabia,8,True,TeamGame-WOLOLO
273631239,"Nov. 22, 2023, 8:56 p.m.",2023,11,22,MKD,12397390,1,3,Pocket,Portuguese,1,Arabia,8,True,TeamGame-WOLOLO
273622449,"Nov. 22, 2023, 8:16 p.m.",2023,11,22,MKD,12397390,1,3,Pocket,Magyars,1,Arabia,8,True,TeamGame-WOLOLO
